Data Generated by Optosky
File Version;1.2
Name;s28_102_2601150947473 350mw 3000ms
Creator;admin
Description;
Created;1/15/2026 9:47:47 AM
Integration Time(ms);3000
Laser Power(mW);350
Average Number;5
Scan Mode;High Precision Scan
Scan Interval;100
Device Model;ATR25000
Pixel Num;2048
Device Sn;242320457XX
Pixel;Raman Shift;Raw;Dark;Dark Subtracted;BaseLine Subtracted
327;1043.3806;48318.0000;41061.6000;7256.4000;376.3778
328;1045.8122;45754.6000;38726.0000;7028.6000;162.9911
329;1048.2428;43677.0000;36499.2000;7177.8000;327.3027
330;1050.6724;43833.4000;36606.2000;7227.2000;391.4281
331;1053.1009;43137.0000;35786.4000;7350.6000;529.4141
332;1055.5284;44566.6000;37390.2000;7176.4000;369.4482
333;1057.9549;45932.4000;38810.2000;7122.2000;329.8367
334;1060.3804;47367.0000;40483.4000;6883.6000;105.6835
335;1062.8048;47330.4000;40455.8000;6874.6000;110.9794
336;1065.2282;45340.6000;38106.4000;7234.2000;484.7439
337;1067.6506;44319.6000;37234.0000;7085.6000;350.1556
338;1070.0720;43995.6000;36966.4000;7029.2000;307.8756
339;1072.4924;45160.6000;37994.2000;7166.4000;459.0357
340;1074.9117;43818.6000;36606.8000;7211.8000;517.2308
341;1077.3300;46703.2000;39684.8000;7018.4000;337.1994
342;1079.7473;45949.2000;39088.6000;6860.6000;192.8419
343;1082.1636;44743.4000;37731.2000;7012.2000;357.9190
344;1084.5788;43664.2000;36568.6000;7095.6000;454.8291
345;1086.9931;45765.4000;38897.8000;6867.6000;240.1409
346;1089.4063;45862.2000;38946.6000;6915.6000;301.2456
347;1091.8185;44966.8000;38052.4000;6914.4000;313.2992
348;1094.2296;47635.0000;40511.4000;7123.6000;535.7024
349;1096.6398;41338.8000;34489.6000;6849.2000;274.2904
350;1099.0490;42954.0000;36378.8000;6575.2000;13.4714
351;1101.4571;45254.4000;38543.0000;6711.4000;162.7799
352;1103.8642;44553.2000;37817.6000;6735.6000;200.2575
353;1106.2703;44277.4000;37426.6000;6850.8000;329.4938
354;1108.6754;42711.8000;35998.0000;6713.8000;207.0370
355;1111.0794;44718.4000;38062.2000;6656.2000;164.3864
356;1113.4825;46311.4000;39551.6000;6759.8000;284.5761
357;1115.8845;43402.8000;36568.2000;6834.6000;378.3801
